"Costs for inland shipping","Costs for inland shipping"
"Costs for inland shipping (minimum)","Costs for inland shipping (minimum)"
"Costs for shipping to foreign countries","Costs for shipping to foreign countries"
"Costs for shipping to foreign countries (minimum)","Costs for shipping to foreign countries (minimum)"
"Custom text for checkout page","Custom text for checkout page"
"Cash on Delivery","الدفع عند الاستلام"
"Cash on Delivery fee","رسوم الدفع عند الاستلام"
"You will be charged an extra fee of %s.","You will be charged an extra fee of %s."
"Incl. Tax","Incl. Tax"
"Cash on Delivery fee (Excl.Tax)","رسوم الدفع عند التسليم (باستثناء الضرائب)"
"Cash on Delivery fee (Incl.Tax)","رسوم الدفع عند التسليم (شاملة الضريبة)"
"Cash on Delivery fee (Excl. Tax)","رسوم الدفع عند التسليم (باستثناء الضرائب)"
"Cash on Delivery fee (Incl. Tax)","رسوم الدفع عند التسليم (شاملة الضريبة)"
"Cash on Delivery fee %s","رسوم الدفع عند الاستلام %s"
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
"Cost calculation","Cost calculation"
"Fixed","Fixed"
"Percentage","Percentage"
"Cost calculation base","Cost calculation base"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation."
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
"Cash on Delivery Tax","Cash on Delivery Tax"
